Date,Open,High,Low,Close,Adj Close,Volume
2022-02-18,13735.40039,13762.40039,13465.55957,13548.07031,13548.07031,4475010000
2022-02-22,13424.36035,13618.71973,13249.65039,13381.51953,13381.51953,4830920000
2022-02-23,13511.75,13533.78027,13032.16992,13037.49023,13037.49023,4614090000
2022-02-24,12587.87988,13486.11035,12587.87988,13473.58984,13473.58984,6131410000
2022-02-25,13485.25977,13696.86035,13358.29004,13694.62012,13694.62012,4614110000
2022-02-28,13570.83008,13810.63965,13549.90039,13751.40039,13751.40039,5894130000
2022-03-01,13716.7002,13777.04004,13441.32031,13532.45996,13532.45996,6094490000
2022-03-02,13597.53027,13796.54981,13493.91016,13752.01953,13752.01953,5229480000
2022-03-03,13837.58984,13837.58984,13472.63965,13537.94043,13537.94043,5058590000
2022-03-04,13455.23047,13486.70996,13224.98047,13313.44043,13313.44043,5319630000
2022-03-07,13328.36035,13353.28027,12828.01953,12830.95996,12830.95996,6163580000
2022-03-08,12800.04004,13159.44043,12670.08008,12795.54981,12795.54981,6631820000
2022-03-09,13113.7002,13301.16016,13039.79004,13255.54981,13255.54981,5377120000
2022-03-10,13098.34961,13163.5,12946.28027,13129.95996,13129.95996,5034030000
2022-03-11,13229.76953,13239.34961,12830.37012,12843.80957,12843.80957,5250230000
2022-03-14,12795.12012,12918.00977,12555.34961,12581.21973,12581.21973,5853360000
2022-03-15,12685.23047,12973.87988,12616.58984,12948.62012,12948.62012,5414590000
2022-03-16,13119.37012,13440.12012,12992.2002,13436.54981,13436.54981,6498110000
2022-03-17,13360.71973,13620.79981,13317.13965,13614.78027,13614.78027,5575030000
2022-03-18,13564.62988,13899.28027,13528.05957,13893.83984,13893.83984,8109950000
2022-03-21,13860.38965,13945.80957,13682.54981,13838.45996,13838.45996,5636000000
2022-03-22,13866.42969,14141.07031,13857.29004,14108.82031,14108.82031,5400360000
2022-03-23,13990.34961,14152.13965,13921.65039,13922.59961,13922.59961,4995470000
2022-03-24,14001.32031,14193.54981,13897.2002,14191.83984,14191.83984,5046250000
2022-03-25,14194.71973,14218.75977,14010.79004,14169.29981,14169.29981,5553860000
2022-03-28,14177.20996,14356,14101.33984,14354.90039,14354.90039,5086120000
2022-03-29,14500.38965,14646.90039,14419.40039,14619.63965,14619.63965,6031870000
2022-03-30,14558.58984,14609.25,14383.4502,14442.26953,14442.26953,5439980000
2022-03-31,14444.78027,14456.74023,14217.71973,14220.51953,14220.51953,5427030000
2022-04-01,14269.53027,14306.94043,14131.80957,14261.5,14261.5,4984050000
2022-04-04,14304.34961,14534.37988,14286.4502,14532.54981,14532.54981,4598480000
2022-04-05,14490.25977,14500.29004,14169.12012,14204.16992,14204.16992,4707090000
2022-04-06,14002.58008,14032.83984,13788.90039,13888.82031,13888.82031,5265740000
